frequency;V(/OPA858/VOUT) (phase);V(/OPA858/VOUT) (gain);
1;-3.06701e-06;140.001;
1.00231;-3.07408e-06;140.001;
1.00462;-3.08116e-06;140.001;
1.00693;-3.08827e-06;140.001;
1.00925;-3.09538e-06;140.001;
1.01158;-3.10252e-06;140.001;
1.01391;-3.10967e-06;140.001;
1.01625;-3.11684e-06;140.001;
1.01859;-3.12403e-06;140.001;
1.02094;-3.13123e-06;140.001;
1.02329;-3.13845e-06;140.001;
1.02565;-3.14568e-06;140.001;
1.02802;-3.15293e-06;140.001;
1.03039;-3.1602e-06;140.001;
1.03276;-3.16749e-06;140.001;
1.03514;-3.17479e-06;140.001;
1.03753;-3.18211e-06;140.001;
1.03992;-3.18944e-06;140.001;
1.04232;-3.19679e-06;140.001;
1.04472;-3.20416e-06;140.001;
1.04713;-3.21155e-06;140.001;
1.04954;-3.21895e-06;140.001;
1.05196;-3.22637e-06;140.001;
1.05439;-3.23381e-06;140.001;
1.05682;-3.24127e-06;140.001;
1.05925;-3.24874e-06;140.001;
1.0617;-3.25623e-06;140.001;
1.06414;-3.26373e-06;140.001;
1.0666;-3.27126e-06;140.001;
1.06905;-3.2788e-06;140.001;
1.07152;-3.28636e-06;140.001;
1.07399;-3.29393e-06;140.001;
1.07647;-3.30153e-06;140.001;
1.07895;-3.30914e-06;140.001;
1.08143;-3.31676e-06;140.001;
1.08393;-3.32441e-06;140.001;
1.08643;-3.33207e-06;140.001;
1.08893;-3.33976e-06;140.001;
1.09144;-3.34745e-06;140.001;
1.09396;-3.35517e-06;140.001;
1.09648;-3.36291e-06;140.001;
1.09901;-3.37066e-06;140.001;
1.10154;-3.37843e-06;140.001;
1.10408;-3.38622e-06;140.001;
1.10662;-3.39402e-06;140.001;
1.10917;-3.40185e-06;140.001;
1.11173;-3.40969e-06;140.001;
1.11429;-3.41755e-06;140.001;
1.11686;-3.42543e-06;140.001;
1.11944;-3.43332e-06;140.001;
1.12202;-3.44124e-06;140.001;
1.1246;-3.44917e-06;140.001;
1.1272;-3.45712e-06;140.001;
1.1298;-3.46509e-06;140.001;
1.1324;-3.47308e-06;140.001;
1.13501;-3.48108e-06;140.001;
1.13763;-3.48911e-06;140.001;
1.14025;-3.49715e-06;140.001;
1.14288;-3.50521e-06;140.001;
1.14551;-3.51329e-06;140.001;
1.14815;-3.52139e-06;140.001;
1.1508;-3.52951e-06;140.001;
1.15345;-3.53765e-06;140.001;
1.15611;-3.5458e-06;140.001;
1.15878;-3.55398e-06;140.001;
1.16145;-3.56217e-06;140.001;
1.16413;-3.57038e-06;140.001;
1.16681;-3.57861e-06;140.001;
1.1695;-3.58686e-06;140.001;
1.1722;-3.59513e-06;140.001;
1.1749;-3.60342e-06;140.001;
1.17761;-3.61172e-06;140.001;
1.18032;-3.62005e-06;140.001;
1.18304;-3.6284e-06;140.001;
1.18577;-3.63676e-06;140.001;
1.1885;-3.64514e-06;140.001;
1.19124;-3.65355e-06;140.001;
1.19399;-3.66197e-06;140.001;
1.19674;-3.67041e-06;140.001;
1.1995;-3.67887e-06;140.001;
1.20226;-3.68735e-06;140.001;
1.20504;-3.69585e-06;140.001;
1.20781;-3.70437e-06;140.001;
1.2106;-3.71291e-06;140.001;
1.21339;-3.72147e-06;140.001;
1.21619;-3.73005e-06;140.001;
1.21899;-3.73865e-06;140.001;
1.2218;-3.74727e-06;140.001;
1.22462;-3.75591e-06;140.001;
1.22744;-3.76456e-06;140.001;
1.23027;-3.77324e-06;140.001;
1.2331;-3.78194e-06;140.001;
1.23595;-3.79066e-06;140.001;
1.2388;-3.7994e-06;140.001;
1.24165;-3.80816e-06;140.001;
1.24451;-3.81693e-06;140.001;
1.24738;-3.82573e-06;140.001;
1.25026;-3.83455e-06;140.001;
1.25314;-3.84339e-06;140.001;
1.25603;-3.85225e-06;140.001;
1.25893;-3.86113e-06;140.001;
1.26183;-3.87003e-06;140.001;
1.26474;-3.87895e-06;140.001;
1.26765;-3.8879e-06;140.001;
1.27057;-3.89686e-06;140.001;
1.2735;-3.90584e-06;140.001;
1.27644;-3.91485e-06;140.001;
1.27938;-3.92387e-06;140.001;
1.28233;-3.93292e-06;140.001;
1.28529;-3.94198e-06;140.001;
1.28825;-3.95107e-06;140.001;
1.29122;-3.96018e-06;140.001;
1.2942;-3.96931e-06;140.001;
1.29718;-3.97846e-06;140.001;
1.30017;-3.98763e-06;140.001;
1.30317;-3.99682e-06;140.001;
1.30617;-4.00603e-06;140.001;
1.30918;-4.01527e-06;140.001;
1.3122;-4.02452e-06;140.001;
1.31522;-4.0338e-06;140.001;
1.31826;-4.0431e-06;140.001;
1.3213;-4.05242e-06;140.001;
1.32434;-4.06176e-06;140.001;
1.32739;-4.07113e-06;140.001;
1.33045;-4.08051e-06;140.001;
1.33352;-4.08992e-06;140.001;
1.3366;-4.09935e-06;140.001;
1.33968;-4.1088e-06;140.001;
1.34276;-4.11827e-06;140.001;
1.34586;-4.12776e-06;140.001;
1.34896;-4.13728e-06;140.001;
1.35207;-4.14681e-06;140.001;
1.35519;-4.15637e-06;140.001;
1.35831;-4.16596e-06;140.001;
1.36144;-4.17556e-06;140.001;
1.36458;-4.18518e-06;140.001;
1.36773;-4.19483e-06;140.001;
1.37088;-4.2045e-06;140.001;
1.37404;-4.21419e-06;140.001;
1.37721;-4.22391e-06;140.001;
1.38038;-4.23365e-06;140.001;
1.38357;-4.24341e-06;140.001;
1.38676;-4.25319e-06;140.001;
1.38995;-4.26299e-06;140.001;
1.39316;-4.27282e-06;140.001;
1.39637;-4.28267e-06;140.001;
1.39959;-4.29254e-06;140.001;
1.40281;-4.30244e-06;140.001;
1.40605;-4.31236e-06;140.001;
1.40929;-4.3223e-06;140.001;
1.41254;-4.33226e-06;140.001;
1.41579;-4.34225e-06;140.001;
1.41906;-4.35226e-06;140.001;
1.42233;-4.36229e-06;140.001;
1.42561;-4.37235e-06;140.001;
1.42889;-4.38243e-06;140.001;
1.43219;-4.39253e-06;140.001;
1.43549;-4.40265e-06;140.001;
1.4388;-4.4128e-06;140.001;
1.44212;-4.42298e-06;140.001;
1.44544;-4.43317e-06;140.001;
1.44877;-4.44339e-06;140.001;
1.45211;-4.45363e-06;140.001;
1.45546;-4.4639e-06;140.001;
1.45881;-4.47419e-06;140.001;
1.46218;-4.48451e-06;140.001;
1.46555;-4.49484e-06;140.001;
1.46893;-4.50521e-06;140.001;
1.47231;-4.51559e-06;140.001;
1.47571;-4.526e-06;140.001;
1.47911;-4.53643e-06;140.001;
1.48252;-4.54689e-06;140.001;
1.48594;-4.55737e-06;140.001;
1.48936;-4.56788e-06;140.001;
1.49279;-4.57841e-06;140.001;
1.49624;-4.58896e-06;140.001;
1.49968;-4.59954e-06;140.001;
1.50314;-4.61015e-06;140.001;
1.50661;-4.62077e-06;140.001;
1.51008;-4.63142e-06;140.001;
1.51356;-4.6421e-06;140.001;
1.51705;-4.6528e-06;140.001;
1.52055;-4.66353e-06;140.001;
1.52405;-4.67428e-06;140.001;
1.52757;-4.68505e-06;140.001;
1.53109;-4.69585e-06;140.001;
1.53462;-4.70668e-06;140.001;
1.53815;-4.71753e-06;140.001;
1.5417;-4.7284e-06;140.001;
1.54525;-4.7393e-06;140.001;
1.54882;-4.75023e-06;140.001;
1.55239;-4.76118e-06;140.001;
1.55597;-4.77216e-06;140.001;
1.55955;-4.78316e-06;140.001;
1.56315;-4.79418e-06;140.001;
1.56675;-4.80523e-06;140.001;
1.57036;-4.81631e-06;140.001;
1.57398;-4.82741e-06;140.001;
1.57761;-4.83854e-06;140.001;
1.58125;-4.8497e-06;140.001;
1.58489;-4.86088e-06;140.001;
1.58855;-4.87208e-06;140.001;
1.59221;-4.88331e-06;140.001;
1.59588;-4.89457e-06;140.001;
1.59956;-4.90585e-06;140.001;
1.60325;-4.91716e-06;140.001;
1.60694;-4.9285e-06;140.001;
1.61065;-4.93986e-06;140.001;
1.61436;-4.95125e-06;140.001;
1.61808;-4.96266e-06;140.001;
1.62181;-4.9741e-06;140.001;
1.62555;-4.98557e-06;140.001;
1.6293;-4.99706e-06;140.001;
1.63305;-5.00858e-06;140.001;
1.63682;-5.02013e-06;140.001;
1.64059;-5.0317e-06;140.001;
1.64437;-5.0433e-06;140.001;
1.64816;-5.05492e-06;140.001;
1.65196;-5.06658e-06;140.001;
1.65577;-5.07826e-06;140.001;
1.65959;-5.08996e-06;140.001;
1.66341;-5.1017e-06;140.001;
1.66725;-5.11346e-06;140.001;
1.67109;-5.12524e-06;140.001;
1.67494;-5.13706e-06;140.001;
1.6788;-5.1489e-06;140.001;
1.68267;-5.16077e-06;140.001;
1.68655;-5.17267e-06;140.001;
1.69044;-5.18459e-06;140.001;
1.69434;-5.19654e-06;140.001;
1.69824;-5.20852e-06;140.001;
1.70216;-5.22053e-06;140.001;
1.70608;-5.23256e-06;140.001;
1.71002;-5.24463e-06;140.001;
1.71396;-5.25672e-06;140.001;
1.71791;-5.26884e-06;140.001;
1.72187;-5.28098e-06;140.001;
1.72584;-5.29316e-06;140.001;
1.72982;-5.30536e-06;140.001;
1.7338;-5.31759e-06;140.001;
1.7378;-5.32985e-06;140.001;
