frequency;V(/Different_topology/VOUT) (phase);V(/Different_topology/VOUT) (gain);
1;-6.54152e-11;140.001;
1.02329;-6.69389e-11;140.001;
1.04713;-6.84981e-11;140.001;
1.07152;-7.00936e-11;140.001;
1.09648;-7.17263e-11;140.001;
1.12202;-7.3397e-11;140.001;
1.14815;-7.51067e-11;140.001;
1.1749;-7.68561e-11;140.001;
1.20226;-7.86463e-11;140.001;
1.23027;-8.04782e-11;140.001;
1.25893;-8.23528e-11;140.001;
1.28825;-8.42711e-11;140.001;
1.31826;-8.6234e-11;140.001;
1.34896;-8.82426e-11;140.001;
1.38038;-9.02981e-11;140.001;
1.41254;-9.24014e-11;140.001;
1.44544;-9.45537e-11;140.001;
1.47911;-9.67561e-11;140.001;
1.51356;-9.90099e-11;140.001;
1.54882;-1.01316e-10;140.001;
1.58489;-1.03676e-10;140.001;
1.62181;-1.06091e-10;140.001;
1.65959;-1.08562e-10;140.001;
1.69824;-1.11091e-10;140.001;
1.7378;-1.13679e-10;140.001;
1.77828;-1.16326e-10;140.001;
1.8197;-1.19036e-10;140.001;
1.86209;-1.21809e-10;140.001;
1.90546;-1.24646e-10;140.001;
1.94984;-1.27549e-10;140.001;
1.99526;-1.3052e-10;140.001;
2.04174;-1.33561e-10;140.001;
2.0893;-1.36672e-10;140.001;
2.13796;-1.39855e-10;140.001;
2.18776;-1.43113e-10;140.001;
2.23872;-1.46446e-10;140.001;
2.29087;-1.49857e-10;140.001;
2.34423;-1.53348e-10;140.001;
2.39883;-1.5692e-10;140.001;
2.45471;-1.60575e-10;140.001;
2.51189;-1.64315e-10;140.001;
2.5704;-1.68143e-10;140.001;
2.63027;-1.72059e-10;140.001;
2.69153;-1.76067e-10;140.001;
2.75423;-1.80168e-10;140.001;
2.81838;-1.84365e-10;140.001;
2.88403;-1.88659e-10;140.001;
2.95121;-1.93054e-10;140.001;
3.01995;-1.97551e-10;140.001;
3.0903;-2.02152e-10;140.001;
3.16228;-2.06861e-10;140.001;
3.23594;-2.11679e-10;140.001;
3.31131;-2.1661e-10;140.001;
3.38844;-2.21655e-10;140.001;
3.46737;-2.26818e-10;140.001;
3.54813;-2.32102e-10;140.001;
3.63078;-2.37508e-10;140.001;
3.71535;-2.4304e-10;140.001;
3.80189;-2.48702e-10;140.001;
3.89045;-2.54495e-10;140.001;
3.98107;-2.60422e-10;140.001;
4.0738;-2.66488e-10;140.001;
4.16869;-2.72696e-10;140.001;
4.2658;-2.79048e-10;140.001;
4.36516;-2.85548e-10;140.001;
4.46684;-2.92199e-10;140.001;
4.57088;-2.99005e-10;140.001;
4.67735;-3.0597e-10;140.001;
4.7863;-3.13097e-10;140.001;
4.89779;-3.2039e-10;140.001;
5.01187;-3.27852e-10;140.001;
5.12861;-3.35489e-10;140.001;
5.24807;-3.43304e-10;140.001;
5.37032;-3.513e-10;140.001;
5.49541;-3.59483e-10;140.001;
5.62341;-3.67856e-10;140.001;
5.7544;-3.76425e-10;140.001;
5.88844;-3.85193e-10;140.001;
6.0256;-3.94165e-10;140.001;
6.16595;-4.03347e-10;140.001;
6.30957;-4.12742e-10;140.001;
6.45654;-4.22356e-10;140.001;
6.60693;-4.32194e-10;140.001;
6.76083;-4.42261e-10;140.001;
6.91831;-4.52562e-10;140.001;
7.07946;-4.63104e-10;140.001;
7.24436;-4.73891e-10;140.001;
7.4131;-4.84929e-10;140.001;
7.58578;-4.96225e-10;140.001;
7.76247;-5.07783e-10;140.001;
7.94328;-5.19611e-10;140.001;
8.12831;-5.31714e-10;140.001;
8.31764;-5.441e-10;140.001;
8.51138;-5.56773e-10;140.001;
8.70964;-5.69742e-10;140.001;
8.91251;-5.83013e-10;140.001;
9.12011;-5.96593e-10;140.001;
9.33254;-6.1049e-10;140.001;
9.54993;-6.2471e-10;140.001;
9.77237;-6.39261e-10;140.001;
10;-6.54152e-10;140.001;
10.2329;-6.69389e-10;140.001;
10.4713;-6.84981e-10;140.001;
10.7152;-7.00936e-10;140.001;
10.9648;-7.17263e-10;140.001;
11.2202;-7.3397e-10;140.001;
11.4815;-7.51066e-10;140.001;
11.749;-7.68561e-10;140.001;
12.0226;-7.86463e-10;140.001;
12.3027;-8.04782e-10;140.001;
12.5893;-8.23528e-10;140.001;
12.8825;-8.4271e-10;140.001;
13.1826;-8.6234e-10;140.001;
13.4896;-8.82426e-10;140.001;
13.8038;-9.0298e-10;140.001;
14.1254;-9.24014e-10;140.001;
14.4544;-9.45537e-10;140.001;
14.7911;-9.67561e-10;140.001;
15.1356;-9.90098e-10;140.001;
15.4882;-1.01316e-09;140.001;
15.8489;-1.03676e-09;140.001;
16.2181;-1.06091e-09;140.001;
16.5959;-1.08562e-09;140.001;
16.9824;-1.11091e-09;140.001;
17.378;-1.13678e-09;140.001;
17.7828;-1.16326e-09;140.001;
18.197;-1.19036e-09;140.001;
18.6209;-1.21809e-09;140.001;
19.0546;-1.24646e-09;140.001;
19.4984;-1.27549e-09;140.001;
19.9526;-1.3052e-09;140.001;
20.4174;-1.33561e-09;140.001;
20.893;-1.36672e-09;140.001;
21.3796;-1.39855e-09;140.001;
21.8776;-1.43113e-09;140.001;
22.3872;-1.46446e-09;140.001;
22.9087;-1.49857e-09;140.001;
23.4423;-1.53348e-09;140.001;
23.9883;-1.5692e-09;140.001;
24.5471;-1.60575e-09;140.001;
25.1189;-1.64315e-09;140.001;
25.704;-1.68143e-09;140.001;
26.3027;-1.72059e-09;140.001;
26.9153;-1.76067e-09;140.001;
27.5423;-1.80168e-09;140.001;
28.1838;-1.84365e-09;140.001;
28.8403;-1.88659e-09;140.001;
